from1,from,to1,to,record_type,call_type,date
7c24bd4330f5dfbe07a6aa4f7751aa7b,7c24b,6a5f55cd2e11f32fd59ca61f85363535,6a5f5,1,1,2/5/2012 15:09
7c24bd4330f5dfbe07a6aa4f7751aa7b,7c24b,3185f6ed215277f1e0a55e624cc47592,3185f,1,1,2/5/2012 15:21
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:56
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:56
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:55
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:55
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:57
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:57
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:59
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 21:59
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 22:04
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,1/5/2012 22:04
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,b792cb3934752e3fae91515fc4933c70,b792c,1,1,1/5/2012 22:47
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,b792cb3934752e3fae91515fc4933c70,b792c,1,1,2/5/2012 1:02
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,488be6e886d127db7c911327236695a7,488be,1,1,2/5/2012 1:03
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,b792cb3934752e3fae91515fc4933c70,b792c,1,1,2/5/2012 3:41
fe9e59a29183833d38be43aadcb74e64,fe9e5,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,1/5/2012 21:43
fe9e59a29183833d38be43aadcb74e64,fe9e5,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,1/5/2012 22:59
fe9e59a29183833d38be43aadcb74e64,fe9e5,59a97a0ed69dc188110563a2968cff9f,59a97,1,1,2/5/2012 0:18
fe9e59a29183833d38be43aadcb74e64,fe9e5,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,2/5/2012 1:50
fe9e59a29183833d38be43aadcb74e64,fe9e5,13c52df947fcb1c0eb9c305814d98b45,13c52,1,1,2/5/2012 8:13
fe9e59a29183833d38be43aadcb74e64,fe9e5,13c52df947fcb1c0eb9c305814d98b45,13c52,1,1,2/5/2012 8:13
fe9e59a29183833d38be43aadcb74e64,fe9e5,00164bb34039df89bebde7f361424ae0,00164,1,1,2/5/2012 8:13
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,2/5/2012 11:18
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,2/5/2012 11:17
5465c2189466bf2f5664e218b02a7a18,5465c,5535f0814bc6be0792fba2d485431914,5535f,1,1,8/5/2012 5:17
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,2/5/2012 11:17
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,2/5/2012 11:18
fe9e59a29183833d38be43aadcb74e64,fe9e5,59a97a0ed69dc188110563a2968cff9f,59a97,1,1,2/5/2012 15:08
fbe352b729732adaafdf267c03a4b7b1,fbe35,4eb60f459225ee47389c530b78990927,4eb60,1,1,1/5/2012 16:57
fbe352b729732adaafdf267c03a4b7b1,fbe35,a78bdc2c47ccf4c97a0e4ba913fabd19,a78bd,1,1,1/5/2012 16:57
fbe352b729732adaafdf267c03a4b7b1,fbe35,a78bdc2c47ccf4c97a0e4ba913fabd19,a78bd,1,1,1/5/2012 16:57
fbe352b729732adaafdf267c03a4b7b1,fbe35,4eb60f459225ee47389c530b78990927,4eb60,1,1,1/5/2012 16:57
fbe352b729732adaafdf267c03a4b7b1,fbe35,a78bdc2c47ccf4c97a0e4ba913fabd19,a78bd,1,1,1/5/2012 16:57
4b01a237db3c48af80799b99cc0dd609,4b01a,4949b7727e0c0a3d72b17757f81cd7a7,4949b,1,1,2/5/2012 1:25
4b01a237db3c48af80799b99cc0dd609,4b01a,8f8f3a5be47c1b113f9fe1a38142df7f,8f8f3,1,1,2/5/2012 1:11
4b01a237db3c48af80799b99cc0dd609,4b01a,4949b7727e0c0a3d72b17757f81cd7a7,4949b,1,1,2/5/2012 1:26
c963fab37718b3120e6856896fa0e85e,c963f,953a3dad7a83a6dcb3524ad651333d8f,953a3,1,1,1/5/2012 17:04
c963fab37718b3120e6856896fa0e85e,c963f,6d1ba1ccaa39787771b9b7b7d18698cf,6d1ba,1,1,1/5/2012 17:04
c963fab37718b3120e6856896fa0e85e,c963f,953a3dad7a83a6dcb3524ad651333d8f,953a3,1,1,1/5/2012 17:07
c963fab37718b3120e6856896fa0e85e,c963f,6d1ba1ccaa39787771b9b7b7d18698cf,6d1ba,1,1,1/5/2012 17:07
c963fab37718b3120e6856896fa0e85e,c963f,7e509656afb39307a64d23e6fd01b9b9,7e509,1,1,2/5/2012 3:08
c963fab37718b3120e6856896fa0e85e,c963f,bb6b3b7b477bfb566f610f73ffc8d0db,bb6b3,1,1,2/5/2012 3:08
c963fab37718b3120e6856896fa0e85e,c963f,7e509656afb39307a64d23e6fd01b9b9,7e509,1,1,2/5/2012 3:08
5afc3379b6a319319e30191bac6eadc6,5afc3,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,2/5/2012 0:23
5afc3379b6a319319e30191bac6eadc6,5afc3,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,2/5/2012 0:24
5afc3379b6a319319e30191bac6eadc6,5afc3,1294c19b15054b444d74505bb1f40c18,1294c,1,1,2/5/2012 5:21
5afc3379b6a319319e30191bac6eadc6,5afc3,1294c19b15054b444d74505bb1f40c18,1294c,1,1,2/5/2012 5:21
5afc3379b6a319319e30191bac6eadc6,5afc3,1294c19b15054b444d74505bb1f40c18,1294c,1,1,2/5/2012 5:21
